n_samples,bw_method,kernel,results
100,fd,gaussian,1.5203226278544837
100,fd,tophat,1.464060044505213
100,fd,epanechnikov,1.4900562439365896
100,fd,exponential,1.4581050025149105
100,fd,linear,1.2054977257432948
100,fd,cosine,1.2639693211584475
100,doane,gaussian,1.4113822416852349
100,doane,tophat,1.309570322301899
100,doane,epanechnikov,1.257183246875319
100,doane,exponential,1.48686603476868
100,doane,linear,1.3392673144580671
100,doane,cosine,1.5210456078099117
100,scott,gaussian,1.5555793761440315
100,scott,tophat,1.3046826765778874
100,scott,epanechnikov,1.5439931871440584
100,scott,exponential,1.5115145064304643
100,scott,linear,1.339806585642388
100,scott,cosine,1.3543287707561948
100,stone,gaussian,1.457444446526832
100,stone,tophat,1.3624109134831295
100,stone,epanechnikov,1.3723489343419077
100,stone,exponential,1.4052197514096956
100,stone,linear,1.2331074555524006
100,stone,cosine,1.3927682552605216
100,rice,gaussian,1.5151704710031635
100,rice,tophat,1.3152362760510898
100,rice,epanechnikov,1.2327990309128884
100,rice,exponential,1.5740849419409393
100,rice,linear,1.3342776739790734
100,rice,cosine,1.270870529853993
100,sturges,gaussian,1.37114427951702
100,sturges,tophat,1.3744589313229585
100,sturges,epanechnikov,1.4462263902787802
100,sturges,exponential,1.4323384594249289
100,sturges,linear,1.3449280706803497
100,sturges,cosine,1.4035999002516526
100,sqrt,gaussian,1.265108783603523
100,sqrt,tophat,1.21106008570654
100,sqrt,epanechnikov,1.2479675058072923
100,sqrt,exponential,1.325804163465705
100,sqrt,linear,1.3728207299250959
100,sqrt,cosine,1.2797484988173566
1000,fd,gaussian,1.4293609601680943
1000,fd,tophat,1.4012305167156824
1000,fd,epanechnikov,1.4077093098707019
1000,fd,exponential,1.4687790558995029
1000,fd,linear,1.3451508833218215
1000,fd,cosine,1.4515835924590812
1000,doane,gaussian,1.4998061551985618
1000,doane,tophat,1.418738446006793
1000,doane,epanechnikov,1.4402962024885415
1000,doane,exponential,1.5258181232879062
1000,doane,linear,1.4081148880158876
1000,doane,cosine,1.4111582748529563
1000,scott,gaussian,1.4410766997500308
1000,scott,tophat,1.4495915383751834
1000,scott,epanechnikov,1.3815831467504023
1000,scott,exponential,1.5273985459171717
1000,scott,linear,1.4139108979177186
1000,scott,cosine,1.4135836993758915
1000,stone,gaussian,1.4374470889342903
1000,stone,tophat,1.4594043234399863
1000,stone,epanechnikov,1.3613191098729522
1000,stone,exponential,1.5633151502834264
1000,stone,linear,1.4031730806595901
1000,stone,cosine,1.454220975384403
1000,rice,gaussian,1.4808370651931688
1000,rice,tophat,1.4488046625320008
1000,rice,epanechnikov,1.4070547774389757
1000,rice,exponential,1.4801298318007208
1000,rice,linear,1.3862367683155261
1000,rice,cosine,1.403873179775036
1000,sturges,gaussian,1.57060553371066
1000,sturges,tophat,1.4648268835778147
1000,sturges,epanechnikov,1.4315763497576814
1000,sturges,exponential,1.5264857171523611
1000,sturges,linear,1.4348312799547978
